word,tag
American,MISC
League,MISC
Cleveland,ORG
DETROIT,ORG
BALTIMORE,ORG
Oakland,ORG
TORONTO,ORG
Minnesota,ORG
Milwaukee,ORG
CHICAGO,ORG
Boston,ORG
CALIFORNIA,ORG
SEATTLE,ORG
New,ORG
York,ORG
National,MISC
League,MISC
SAN,ORG
FRANCISCO,ORG
Philadelphia,ORG
St,ORG
Louis,ORG
HOUSTON,ORG
COLORADO,ORG
Cincinnati,ORG
CHANG,PER
WASHINGTON,LOC
Larry,PER
Fine,PER
NEW,LOC
YORK,LOC
Michael,PER
Chang,PER
U.S.,MISC
Open,MISC
American,MISC
Chang,PER
Pete,PER
Sampras,PER
Jaime,PER
Oncins,PER
Brazil,LOC
Chang,PER
Chang,PER
Wimbledon,MISC
MaliVai,PER
Washington,PER
Moroccan,MISC
Karim,PER
Alami,PER
Washington,PER
American,MISC
Stadium,LOC
Court,LOC
Alami,PER
Washington,LOC
Chang,PER
Washington,PER
Australian,MISC
Open,MISC
Anke,PER
Huber,PER
Germany,LOC
South,MISC
African,MISC
Amanda,PER
Coetzer,PER
Coetzer,PER
Huber,PER
Melbourne,LOC
Wimbledon,MISC
Aleksandra,PER
Olsza,PER
Poland,LOC
Magdalena,PER
Maleeva,PER
Bulgaria,LOC
Grand,MISC
Slam,MISC
Germany,LOC
Michael,PER
Stich,PER
Wimbledon,MISC
French,MISC
Open,MISC
Sergi,PER
Bruguera,PER
Spain,LOC
German,MISC
Tommy,PER
Haas,PER
Belgian,MISC
Kris,PER
Goossens,PER
Alex,PER
O'Brien,PER
New,LOC
Haven,LOC
Ecuador,LOC
Nicolas,PER
Lapentti,PER
Wimbledon,MISC
Jeff,PER
Tarango,PER
German,MISC
Alex,PER
Radulescu,PER
Tarango,PER
Chang,PER
Oncins,PER
Barcelona,LOC
Olympics,MISC
Chang,PER
Brazilian,MISC
Oncins,PER
Oncins,PER
Chang,PER
Oncins,PER
Chang,PER
Oncins,PER
Chang,PER
Oncins,PER
Brazilian,MISC
Sao,LOC
Paulo,LOC
Oncins,PER
Oncins,PER
Open,MISC
Jim,PER
Courier,PER
Open,MISC
Mats,PER
Wilander,PER
Mary,PER
Joe,PER
Fernandez,PER
FRENCH,MISC
PARIS,LOC
French,MISC
Auxerre,ORG
Marseille,ORG
MARSEILLE,ORG
AUXERRE,ORG
PARIS,LOC
European,MISC
Marseille,ORG
French,MISC
Auxerre,ORG
Auxerre,ORG
European,MISC
Cup,MISC
Ajax,ORG
Amsterdam,ORG
Lens,ORG
Lens,ORG
Montpellier,ORG
Marseille,ORG
Metz,ORG
French,MISC
Marseille,ORG
German,MISC
Andreas,PER
Koepke,PER
Auxerre,ORG
Marseille,ORG
FRENCH,MISC
PARIS,LOC
French,MISC
Auxerre,ORG
Marseille,ORG
GERMAN,MISC
BONN,LOC
Bundesliga,MISC
Borussia,ORG
Dortmund,ORG
Riedle,PER
Heinrich,PER
Tretschok,PER
Freiburg,ORG
Decheiver,PER
Hamburg,ORG
VfB,ORG
Stuttgart,ORG
Balakov,PER
Bobic,PER
Hagner,PER
Werder,ORG
Bremen,ORG
Schulz,PER
Borussia,ORG
Moenchengladbach,ORG
Schalke,ORG
Thon,PER
Bochum,ORG
Donkow,PER
GERMAN,MISC
BONN,LOC
Bundesliga,MISC
Borussia,ORG
Dortmund,ORG
Freiburg,ORG
Hamburg,ORG
VfB,ORG
Stuttgart,ORG
Werder,ORG
Bremen,ORG
Borussia,ORG
Moenchengladbach,ORG
Schalke,ORG
Bochum,ORG
Bundesliga,MISC
VfB,ORG
Stuttgart,ORG
Hanwha,ORG
Samsung,ORG
Lotte,ORG
LG,ORG
OB,ORG
MOROCCAN,MISC
RABAT,LOC
Moroccan,MISC
Widad,ORG
Fes,ORG
Oujda,ORG
Raja,ORG
Casablanca,ORG
Tetouan,ORG
Jeunesse,ORG
Massira,ORG
Widad,ORG
Casablanca,ORG
Sporting,ORG
Sale,ORG
Meknes,ORG
Settat,ORG
Marrakesh,ORG
Khouribga,ORG
Mohammedia,ORG
Sidi,ORG
Kacem,ORG
Royal,ORG
Armed,ORG
Forces,ORG
El,ORG
Jadida,ORG
Hassania,ORG
Agadir,ORG
U.S.,MISC
OPEN,MISC
Bill,PER
Berkrot,PER
NEW,LOC
YORK,LOC
National,LOC
Tennis,LOC
Centre,LOC
U.S.,MISC
Open,MISC
Olympics,MISC
Olympics,MISC
Atlanta,MISC
Games,MISC
U.S.,MISC
Open,MISC
New,MISC
Yorker,MISC
Rebecca,PER
Weinstein,PER
U.S.,MISC
Open,MISC
Carol,PER
Perry,PER
Perry,PER
Tuscany,LOC
HUBER,PER
MALEEVA,PER
OPEN,MISC
Larry,PER
Fine,PER
NEW,LOC
YORK,LOC
Martina,PER
Hingis,PER
Australian,MISC
Open,MISC
Anke,PER
Huber,PER
Magdalena,PER
Maleeva,PER
U.S.,MISC
Open,MISC
Hingis,PER
Grand,MISC
Slam,MISC
Stadium,LOC
Court,LOC
Angeles,PER
Montolio,PER
Spain,LOC
Hingis,PER
Spaniard,MISC
Flushing,LOC
Meadows,LOC
Huber,PER
Germany,LOC
Maleeva,PER
Bulgaria,LOC
Huber,PER
Monica,PER
Seles,PER
Australian,MISC
Open,MISC
Amanda,PER
Coetzer,PER
South,LOC
Africa,LOC
Coetzer,PER
Huber,PER
Australian,MISC
Open,MISC
Coetzer,PER
Huber,PER
Manhattan,LOC
Beach,LOC
German,MISC
Grand,MISC
Slam,MISC
Grand,MISC
Slam,MISC
U.S.,MISC
Open,MISC
Aleksandra,PER
Olsza,PER
Poland,LOC
Olsza,PER
Wimbledon,MISC
Open,MISC
Maleeva,PER
Hingis,PER
Olsza,PER
Swiss,MISC
French,MISC
Open,MISC
Wimbledon,MISC
Australian,MISC
Open,MISC
Hingis,PER
Arantxa,PER
Sanchez,PER
Vicario,PER
Hingis,PER
Arantxa,PER
Olsza,PER
Maleeva,PER
Olsza,PER
Olsza,PER
Japanese,MISC
Brenda,PER
Schultz-McCarthy,PER
Netherlands,LOC
Japan,LOC
Nana,PER
Miyaga,PER
Czech,MISC
Helena,PER
Sukova,PER
Yone,PER
Kamio,PER
Austrian,MISC
Barbara,PER
Paulus,PER
Yi,PER
Jing-Qian,PER
China,LOC
STICH,PER
OPEN,MISC
Richard,PER
